key,summary,recommended_status,why,acceptance_criteria_met,evidence,unmet_or_blocker
IN-65,Spike: MS Graph meeting detection — subscription vs polling,Complete / Done,Polling vs webhooks was evaluated and Electron main-process delegated Graph polling was selected for Slice 1.,Recommendation made; Graph scopes identified; /me/calendarView baseline documented; webhook tradeoffs documented; throttling/backoff rules documented; polling cadence documented.,docs/spikes/ms-graph-meeting-detection.md; live validation update; poll cadence immediate startup/sign-in/resume plus 5-minute normal polling.,"Persistent MSAL token cache is a follow-up hardening item, not a blocker for the spike decision."
IN-66,Wire auto-start and auto-stop recording to Graph meeting events,Complete / Done,Graph event detection is wired to recording lifecycle and upload metadata.,Auto-start path exists; auto-stop timer exists; manual recording bypasses calendar logic; Graph metadata passes through create/upload/backend record.,"docs/jira-progress.md IN-66; commits 1df29d8, 0000990, 9b74905; npm run verify:graph; typecheck; build; backend compileall; FastAPI smoke for create/upload with Graph metadata.",
IN-67,Implement host-only recording gate for auto-triggered meetings,Complete / Done,Auto-recording is organiser-gated and non-organiser meetings are skipped.,Organiser passes; non-organiser blocked; excluded events blocked; manual recording bypasses host gate.,src/main/graph/host-gate.ts; docs/jira-progress.md IN-67; commit e25c4e3; live 2pm Innovations Sync check showed David as organiser so Joseph should not auto-record.,
IN-68,Implement MS Graph meeting detection in Electron main process,Complete / Done with auth-persistence follow-up,"MSAL public-client auth, Graph calendar polling, host gate, start-window gate, and duplicate protection are implemented.",Detects real Teams calendar meetings; uses delegated Graph; emits eligible/skipped decisions; auto-start only inside 3-minute window; skips non-organiser meetings.,"docs/jira-progress.md IN-68; commits cf2a475, a59bd92, bb33e2c; src/main/graph/runtime.ts; DEFAULT_POLL_INTERVAL_MS=5 minutes; DEFAULT_AUTO_START_LEAD_MS=3 minutes.",Current app loses cached MSAL account after restart. Add persistent MSAL cache as hardening/follow-up.
IN-70,Define internal vs client meeting_type classification rules,Complete / Done,Jira already marks Done and classification rule was decided.,Internal/client classification rules documented and accepted as initial Slice 1 logic.,Jira (2).csv shows IN-70 Done; comments confirm team agreed to initial rules.,
IN-71,Configure app to run at Windows startup and persist in system tray,Complete / Done,"Tray behavior, startup/background launch behavior, single-instance handling, and opt-out setting are implemented.",App persists in tray; packaged builds can launch at login; single-instance prevents duplicates; tray status updates with recording state.,docs/jira-progress.md IN-71; commits a7db862 and 0630750; npm run typecheck; npm run build; git diff --check.,Final signed installer rollout remains under IN-81.
IN-72,UI cleanup: remove per-calendar-meeting Record button,Complete / Done,Calendar meeting list/per-meeting Record button is removed while manual controls remain.,No per-calendar meeting Record button; manual Start/Stop remains available.,docs/jira-progress.md IN-72/IN-88; dashboard cleanup under IN-73.,
IN-73,Evaluate removal of meeting list and calendar strip,Complete / Done,Decision made to remove meeting list/calendar strip for simpler Slice 1 UI; Jira already marks Done.,Decision documented; UI implementation follows decision.,Jira (2).csv IN-73 Done; outcome says these can be removed for simpler UI; docs/jira-progress.md dashboard cleanup.,
IN-74,UI cleanup: remove full meeting detail page,Complete / Done,Meeting detail/review route was removed for Slice 1 production handoff.,Full detail page absent; transcript/summary/waveform/speaker review/export controls absent.,Latest PR commit e7b99a7 fix: align slice 1 UI and long-meeting plan; docs/jira-progress.md IN-74; MeetingReviewScreen route removed from App.tsx.,
IN-75,UI cleanup: remove action items view and aggregated action items page,Complete / Done,Action item page/view and dashboard card were removed.,No action items tab/page; no aggregated action items page; actions delivered in email/output instead.,docs/jira-progress.md IN-75; UI cleanup evidence under IN-73/74/75.,
